Processing Method,Classifier,Dataset,Overall accuracy,Sensitivity,Specificity,Average accuracy per fold,Patients correct ratio,Channels,Hyperparameters,Notes,Details
PCA + Bandpower,Linear SVM,PP/PNP-RH,0.537,0.6060606060606061,0.4597457627118644,0.5199633019933502,0.5789473684210527,['P2'],0.5,"{""pca_components"": 3}",
PCA + Bandpower,Linear SVM,PP/PNP-RH,0.407,0.4753787878787879,0.3305084745762712,0.3904103343054798,0.3684210526315789,['P3'],0.5,"{""pca_components"": 3}",
PCA + Bandpower,Linear SVM,PP/PNP-RH,0.375,0.44886363636363635,0.2923728813559322,0.3638195494741754,0.3684210526315789,['P4'],0.5,"{""pca_components"": 3}",
PCA + Bandpower,Linear SVM,PP/PNP-RH,0.32,0.2897727272727273,0.3538135593220339,0.30528763019289723,0.3157894736842105,['P5'],0.5,"{""pca_components"": 3}",
PCA + Bandpower,Linear SVM,PP/PNP-RH,0.341,0.3768939393939394,0.3008474576271186,0.33112996785481796,0.3684210526315789,['P6'],0.5,"{""pca_components"": 3}",
PCA + Bandpower,Linear SVM,PP/PNP-RH,0.441,0.1590909090909091,0.7563559322033898,0.44152199098267697,0.42105263157894735,['P7'],0.5,"{""pca_components"": 3}",
PCA + Bandpower,Linear SVM,PP/PNP-RH,0.459,0.49242424242424243,0.4216101694915254,0.44161674233382014,0.42105263157894735,['P8'],0.5,"{""pca_components"": 3}",
PCA + Bandpower,Linear SVM,PP/PNP-RH,0.53,0.553030303030303,0.5042372881355932,0.5183700165702042,0.5263157894736842,['Fp1'],0.5,"{""pca_components"": 3}",
PCA + Bandpower,Linear SVM,PP/PNP-RH,0.481,0.4943181818181818,0.4661016949152542,0.46896453281749545,0.5263157894736842,['POz'],0.5,"{""pca_components"": 3}",
PCA + Bandpower,Linear SVM,PP/PNP-RH,0.397,0.4412878787878788,0.3474576271186441,0.38425926008158173,0.42105263157894735,['PO3'],0.5,"{""pca_components"": 3}",
PCA + Bandpower,Linear SVM,PP/PNP-RH,0.354,0.36363636363636365,0.3432203389830508,0.3381002330895396,0.3684210526315789,['PO4'],0.5,"{""pca_components"": 3}",
PCA + Bandpower,Linear SVM,PP/PNP-RH,0.398,0.42803030303030304,0.3644067796610169,0.386251946949222,0.3684210526315789,['Oz'],0.5,"{""pca_components"": 3}",
PCA + Bandpower,Linear SVM,PP/PNP-RH,0.351,0.3693181818181818,0.3305084745762712,0.3389754762957445,0.3157894736842105,['O1'],0.5,"{""pca_components"": 3}",
PCA + Bandpower,Linear SVM,PP/PNP-RH,0.379,0.3560606060606061,0.4046610169491525,0.3616664641344827,0.3684210526315789,['O2'],0.5,"{""pca_components"": 3}",
PCA + Bandpower,Linear SVM,PP/PNP-RH,0.486,0.5511363636363636,0.413135593220339,0.46634645930869006,0.5263157894736842,"['CP3', 'Cz']",0.5,"{""pca_components"": 3}",
PCA + Bandpower,Linear SVM,PP/PNP-RH,0.576,0.6496212121212122,0.4936440677966102,0.5578235589672034,0.5263157894736842,"['CP3', 'C1']",0.5,"{""pca_components"": 3}",
