Processing Method,Classifier,Dataset,Overall accuracy,Sensitivity,Specificity,Average accuracy per fold,Patients correct ratio,Channels,Hyperparameters,Notes,Details
HFD,Linear SVM,PP/PNP-LH,0.84278607,0.838095238,0.847916667,0.834073171,0.894736842,['F3'],0.1,"{""window start"": 0, ""window size"": 2, ""k"": 7}",
HFD,Linear SVM,PP/PNP-LH,0.620895522,0.714285714,0.51875,0.622839891,0.578947368,['F4'],0.1,"{""window start"": 0, ""window size"": 2, ""k"": 7}",
HFD,Linear SVM,PP/PNP-LH,0.413930348,0.308571429,0.529166667,0.42446834,0.368421053,['F5'],0.1,"{""window start"": 0, ""window size"": 2, ""k"": 7}",
HFD,Linear SVM,PP/PNP-LH,0.67960199,0.853333333,0.489583333,0.689864244,0.684210526,['F6'],0.1,"{""window start"": 0, ""window size"": 2, ""k"": 7}",
HFD,Linear SVM,PP/PNP-LH,0.553233831,0.35047619,0.775,0.566598042,0.526315789,['F7'],0.1,"{""window start"": 0, ""window size"": 2, ""k"": 7}",
HFD,Linear SVM,PP/PNP-LH,0.531343284,0.462857143,0.60625,0.544655491,0.526315789,['F8'],0.1,"{""window start"": 0, ""window size"": 2, ""k"": 7}",
HFD,Linear SVM,PP/PNP-LH,0.475621891,0.499047619,0.45,0.484020132,0.421052632,['Pz'],0.1,"{""window start"": 0, ""window size"": 2, ""k"": 7}",
HFD,Linear SVM,PP/PNP-LH,0.457711443,0.695238095,0.197916667,0.435043539,0.368421053,['P1'],0.1,"{""window start"": 0, ""window size"": 2, ""k"": 7}",
HFD,Linear SVM,PP/PNP-LH,0.529353234,0.695238095,0.347916667,0.512591782,0.526315789,['P2'],0.1,"{""window start"": 0, ""window size"": 2, ""k"": 7}",
HFD,Linear SVM,PP/PNP-LH,0.457711443,0.375238095,0.547916667,0.434510655,0.473684211,['P3'],0.1,"{""window start"": 0, ""window size"": 2, ""k"": 7}",
HFD,Linear SVM,PP/PNP-LH,0.507462687,0.518095238,0.495833333,0.510659754,0.473684211,['P4'],0.1,"{""window start"": 0, ""window size"": 2, ""k"": 7}",
HFD,Linear SVM,PP/PNP-LH,0.585074627,0.716190476,0.441666667,0.564151909,0.526315789,['P5'],0.1,"{""window start"": 0, ""window size"": 2, ""k"": 7}",
HFD,Linear SVM,PP/PNP-LH,0.499502488,0.434285714,0.570833333,0.503842123,0.368421053,['P6'],0.1,"{""window start"": 0, ""window size"": 2, ""k"": 7}",
HFD,Linear SVM,PP/PNP-LH,0.60199005,0.52952381,0.68125,0.604389862,0.578947368,['P7'],0.1,"{""window start"": 0, ""window size"": 2, ""k"": 7}",
HFD,Linear SVM,PP/PNP-LH,0.521393035,0.539047619,0.502083333,0.515893353,0.421052632,['P8'],0.1,"{""window start"": 0, ""window size"": 2, ""k"": 7}",
HFD,Linear SVM,PP/PNP-LH,0.526368159,0.76,0.270833333,0.516338374,0.473684211,['AFz'],0.1,"{""window start"": 0, ""window size"": 2, ""k"": 7}",
HFD,Linear SVM,PP/PNP-LH,0.704477612,0.695238095,0.714583333,0.715515811,0.789473684,['AF3'],0.1,"{""window start"": 0, ""window size"": 2, ""k"": 7}",
HFD,Linear SVM,PP/PNP-LH,0.609950249,0.420952381,0.816666667,0.628142357,0.684210526,['AF4'],0.1,"{""window start"": 0, ""window size"": 2, ""k"": 7}",
HFD,Linear SVM,PP/PNP-LH,0.582089552,0.792380952,0.352083333,0.572563515,0.526315789,['AF7'],0.1,"{""window start"": 0, ""window size"": 2, ""k"": 7}",
HFD,Linear SVM,PP/PNP-LH,0.63880597,0.398095238,0.902083333,0.642913135,0.684210526,['AF8'],0.1,"{""window start"": 0, ""window size"": 2, ""k"": 7}",
HFD,Linear SVM,PP/PNP-LH,0.534328358,0.716190476,0.335416667,0.518426915,0.473684211,['Fp1'],0.1,"{""window start"": 0, ""window size"": 2, ""k"": 7}",
HFD,Linear SVM,PP/PNP-LH,0.484577114,0.607619048,0.35,0.47983639,0.473684211,['FP2'],0.1,"{""window start"": 0, ""window size"": 2, ""k"": 7}",
HFD,Linear SVM,PP/PNP-LH,0.578109453,0.419047619,0.752083333,0.586675778,0.684210526,['POz'],0.1,"{""window start"": 0, ""window size"": 2, ""k"": 7}",
HFD,Linear SVM,PP/PNP-LH,0.524378109,0.4,0.660416667,0.537553533,0.631578947,['PO3'],0.1,"{""window start"": 0, ""window size"": 2, ""k"": 7}",
HFD,Linear SVM,PP/PNP-LH,0.366169154,0.384761905,0.345833333,0.357697378,0.421052632,['PO4'],0.1,"{""window start"": 0, ""window size"": 2, ""k"": 7}",
HFD,Linear SVM,PP/PNP-LH,0.498507463,0.775238095,0.195833333,0.505844039,0.473684211,['PO7'],0.1,"{""window start"": 0, ""window size"": 2, ""k"": 7}",
HFD,Linear SVM,PP/PNP-LH,0.473631841,0.447619048,0.502083333,0.476091066,0.473684211,['PO8'],0.1,"{""window start"": 0, ""window size"": 2, ""k"": 7}",
HFD,Linear SVM,PP/PNP-LH,0.628855721,0.739047619,0.508333333,0.637785178,0.736842105,['Oz'],0.1,"{""window start"": 0, ""window size"": 2, ""k"": 7}",
HFD,Linear SVM,PP/PNP-LH,0.539303483,0.80952381,0.24375,0.533784355,0.526315789,['O1'],0.1,"{""window start"": 0, ""window size"": 2, ""k"": 7}",
HFD,Linear SVM,PP/PNP-LH,0.435820896,0.278095238,0.608333333,0.440209412,0.368421053,['O2'],0.1,"{""window start"": 0, ""window size"": 2, ""k"": 7}",
HFD,Linear SVM,PP/PNP-LH,0.595024876,0.685714286,0.495833333,0.593633885,0.736842105,['Iz'],0.1,"{""window start"": 0, ""window size"": 2, ""k"": 7}",
HFD,Linear SVM,PP/PNP-LH,0.423880597,0.300952381,0.558333333,0.418332268,0.421052632,"['F3', 'Cz']",0.1,"{""window start"": 0, ""window size"": 2, ""k"": 7}",
HFD,Linear SVM,PP/PNP-LH,0.585074627,0.681904762,0.479166667,0.582055087,0.631578947,"['F3', 'C1']",0.1,"{""window start"": 0, ""window size"": 2, ""k"": 7}",
HFD,Linear SVM,PP/PNP-LH,0.476616915,0.417142857,0.541666667,0.483170148,0.473684211,"['F3', 'C2']",0.1,"{""window start"": 0, ""window size"": 2, ""k"": 7}",
HFD,Linear SVM,PP/PNP-LH,0.523383085,0.354285714,0.708333333,0.519381416,0.578947368,"['F3', 'C3']",0.1,"{""window start"": 0, ""window size"": 2, ""k"": 7}",
HFD,Linear SVM,PP/PNP-LH,0.509452736,0.620952381,0.3875,0.520109766,0.526315789,"['F3', 'C4']",0.1,"{""window start"": 0, ""window size"": 2, ""k"": 7}",
HFD,Linear SVM,PP/PNP-LH,0.47761194,0.24952381,0.727083333,0.482198826,0.473684211,"['F3', 'C5']",0.1,"{""window start"": 0, ""window size"": 2, ""k"": 7}",
HFD,Linear SVM,PP/PNP-LH,0.577114428,0.474285714,0.689583333,0.582760793,0.684210526,"['F3', 'C6']",0.1,"{""window start"": 0, ""window size"": 2, ""k"": 7}",
HFD,Linear SVM,PP/PNP-LH,0.44278607,0.318095238,0.579166667,0.446762761,0.473684211,"['F3', 'C7']",0.1,"{""window start"": 0, ""window size"": 2, ""k"": 7}",
HFD,Linear SVM,PP/PNP-LH,0.524378109,0.579047619,0.464583333,0.529050937,0.578947368,"['F3', 'C8']",0.1,"{""window start"": 0, ""window size"": 2, ""k"": 7}",
HFD,Linear SVM,PP/PNP-LH,0.555223881,0.544761905,0.566666667,0.568358814,0.631578947,"['F3', 'FCz']",0.1,"{""window start"": 0, ""window size"": 2, ""k"": 7}",
HFD,Linear SVM,PP/PNP-LH,0.655721393,0.72952381,0.575,0.647958544,0.684210526,"['F3', 'FC1']",0.1,"{""window start"": 0, ""window size"": 2, ""k"": 7}",
HFD,Linear SVM,PP/PNP-LH,0.548258706,0.373333333,0.739583333,0.557098423,0.578947368,"['F3', 'FC2']",0.1,"{""window start"": 0, ""window size"": 2, ""k"": 7}",
